captcha_id,label,path,digit_sources,augment_params,quality_status
captcha_003987,6009,data/captcha_images/captcha_003987_6009.png,sklearn_00338|sklearn_01049|sklearn_01579|sklearn_01276,"{""blur_radius"": 0.36520572316077415, ""rotation"": 1.5920376246884835, ""brightness"": 0.9525445889888849, ""contrast"": 1.2405179642269164, ""noise_sigma"": 3.4913120920979996, ""line_count"": 2, ""perspective_strength"": 0.006500999450026778}",unreviewed
captcha_001334,8291,data/captcha_images/captcha_001334_8291.png,sklearn_00978|sklearn_01742|sklearn_00139|sklearn_00875,"{""blur_radius"": 0.2870091775278991, ""rotation"": 3.9654991469369483, ""brightness"": 0.9826234497040048, ""contrast"": 1.0839957525517578, ""noise_sigma"": 6.625780816447768, ""line_count"": 2, ""perspective_strength"": 0.0008879571642238089}",unreviewed
captcha_001173,4242,data/captcha_images/captcha_001173_4242.png,sklearn_00144|sklearn_00243|sklearn_01053|sklearn_01437,"{""blur_radius"": 0.1307282268336909, ""rotation"": 2.7861297633468256, ""brightness"": 0.8664151597486758, ""contrast"": 0.9311014988577483, ""noise_sigma"": 4.971805381294317, ""line_count"": 0, ""perspective_strength"": 0.02135531890495817}",unreviewed
captcha_001859,4622,data/captcha_images/captcha_001859_4622.png,sklearn_00121|sklearn_00583|sklearn_01104|sklearn_00463,"{""blur_radius"": 0.5780606690718088, ""rotation"": -3.778063399362086, ""brightness"": 0.9761890546770076, ""contrast"": 0.9277012610000138, ""noise_sigma"": 2.2598820096707692, ""line_count"": 2, ""perspective_strength"": 0.013554942558638273}",unreviewed
captcha_004175,1641,data/captcha_images/captcha_004175_1641.png,sklearn_01640|sklearn_01293|sklearn_00367|sklearn_00994,"{""blur_radius"": 0.7741970007893461, ""rotation"": 2.4036729377604855, ""brightness"": 0.897085556671158, ""contrast"": 1.1192003124075056, ""noise_sigma"": 5.5754091284958776, ""line_count"": 1, ""perspective_strength"": 0.02653903148478458}",unreviewed
captcha_004182,8464,data/captcha_images/captcha_004182_8464.png,sklearn_00903|sklearn_01254|sklearn_01503|sklearn_00844,"{""blur_radius"": 0.8276192225947864, ""rotation"": 2.3682097353908595, ""brightness"": 0.9590210962768805, ""contrast"": 0.8861072406482914, ""noise_sigma"": 2.71740549194488, ""line_count"": 1, ""perspective_strength"": 0.015034694306834871}",unreviewed
captcha_001250,0451,data/captcha_images/captcha_001250_0451.png,sklearn_00682|sklearn_00380|sklearn_00117|sklearn_00397,"{""blur_radius"": 0.24950651283418557, ""rotation"": -2.103799857618541, ""brightness"": 0.963390832860198, ""contrast"": 1.0285391646793085, ""noise_sigma"": 7.807575301067738, ""line_count"": 1, ""perspective_strength"": 0.007773836086790955}",unreviewed
captcha_003161,0349,data/captcha_images/captcha_003161_0349.png,sklearn_01187|sklearn_00269|sklearn_00886|sklearn_00037,"{""blur_radius"": 0.1148507460614992, ""rotation"": 0.12167021522698285, ""brightness"": 1.0139487624067118, ""contrast"": 0.9226679723066034, ""noise_sigma"": 8.357212061560697, ""line_count"": 2, ""perspective_strength"": 0.01800867466982479}",unreviewed
captcha_001778,1705,data/captcha_images/captcha_001778_1705.png,sklearn_00563|sklearn_00429|sklearn_00642|sklearn_00289,"{""blur_radius"": 0.4995804789088102, ""rotation"": 3.2210375069884014, ""brightness"": 1.001086883302955, ""contrast"": 1.0995102472645701, ""noise_sigma"": 5.425298370422409, ""line_count"": 0, ""perspective_strength"": 0.03197086108635542}",unreviewed
captcha_004856,4819,data/captcha_images/captcha_004856_4819.png,sklearn_00613|sklearn_00630|sklearn_00312|sklearn_00325,"{""blur_radius"": 0.450244179339522, ""rotation"": 1.5584617661057, ""brightness"": 1.0167557620024867, ""contrast"": 1.0599827337002843, ""noise_sigma"": 6.962509808292685, ""line_count"": 1, ""perspective_strength"": 0.01590923256565012}",unreviewed
captcha_002229,9065,data/captcha_images/captcha_002229_9065.png,sklearn_01194|sklearn_00305|sklearn_01421|sklearn_00245,"{""blur_radius"": 0.7665700567818541, ""rotation"": 1.536728798913094, ""brightness"": 0.9646225440339574, ""contrast"": 1.1844578166519488, ""noise_sigma"": 2.2078721406498265, ""line_count"": 3, ""perspective_strength"": 0.0168428080605202}",unreviewed
captcha_004888,7012,data/captcha_images/captcha_004888_7012.png,sklearn_00216|sklearn_00980|sklearn_01752|sklearn_01490,"{""blur_radius"": 0.7248573847962495, ""rotation"": -0.43218238508193796, ""brightness"": 1.028751678720821, ""contrast"": 1.075019610346187, ""noise_sigma"": 3.5263707922130494, ""line_count"": 2, ""perspective_strength"": 0.011048923509483633}",unreviewed
captcha_000165,3054,data/captcha_images/captcha_000165_3054.png,sklearn_00839|sklearn_01703|sklearn_01682|sklearn_00483,"{""blur_radius"": 0.6863414971729707, ""rotation"": 1.4477566011060938, ""brightness"": 0.9126834318521494, ""contrast"": 0.8776364025093597, ""noise_sigma"": 5.592683304686517, ""line_count"": 3, ""perspective_strength"": 0.03276847216402772}",unreviewed
captcha_002980,1888,data/captcha_images/captcha_002980_1888.png,sklearn_01416|sklearn_00482|sklearn_01423|sklearn_00509,"{""blur_radius"": 0.1449085530815757, ""rotation"": 0.4398028449850626, ""brightness"": 0.880073863944401, ""contrast"": 0.876747418773947, ""noise_sigma"": 3.909670774515594, ""line_count"": 3, ""perspective_strength"": 0.018936511365710555}",unreviewed
captcha_004531,9576,data/captcha_images/captcha_004531_9576.png,sklearn_01276|sklearn_01700|sklearn_01587|sklearn_00611,"{""blur_radius"": 0.5670418654158584, ""rotation"": -0.08179417194146499, ""brightness"": 1.0040116352538786, ""contrast"": 1.1298910892151903, ""noise_sigma"": 8.056844604075843, ""line_count"": 3, ""perspective_strength"": 0.010676373586834376}",unreviewed
captcha_001088,8798,data/captcha_images/captcha_001088_8798.png,sklearn_00008|sklearn_00182|sklearn_01316|sklearn_00654,"{""blur_radius"": 0.6296494581424005, ""rotation"": -2.1534944175749935, ""brightness"": 1.0856061288857002, ""contrast"": 0.9691920557890494, ""noise_sigma"": 7.55856559718608, ""line_count"": 2, ""perspective_strength"": 0.032820865849043895}",unreviewed
captcha_004544,9399,data/captcha_images/captcha_004544_9399.png,sklearn_01262|sklearn_00744|sklearn_00275|sklearn_00037,"{""blur_radius"": 0.7808275166271164, ""rotation"": 2.937780725445066, ""brightness"": 0.9304205591355831, ""contrast"": 0.8814054268396819, ""noise_sigma"": 8.609072237726064, ""line_count"": 3, ""perspective_strength"": 0.009504581207184136}",unreviewed
captcha_002720,4626,data/captcha_images/captcha_002720_4626.png,sklearn_01127|sklearn_00067|sklearn_00538|sklearn_01701,"{""blur_radius"": 0.2384718365034086, ""rotation"": 0.27066317887362334, ""brightness"": 0.9843006620857659, ""contrast"": 1.0057678959450742, ""noise_sigma"": 7.093004282109445, ""line_count"": 3, ""perspective_strength"": 0.024550153775112424}",unreviewed
captcha_000809,5563,data/captcha_images/captcha_000809_5563.png,sklearn_00163|sklearn_01010|sklearn_01122|sklearn_00965,"{""blur_radius"": 0.1745075429772457, ""rotation"": 2.0174836611910285, ""brightness"": 0.9695440697137421, ""contrast"": 1.1147676165693725, ""noise_sigma"": 5.545127190305266, ""line_count"": 0, ""perspective_strength"": 0.03340834638305616}",unreviewed
captcha_000833,2320,data/captcha_images/captcha_000833_2320.png,sklearn_00313|sklearn_00316|sklearn_00591|sklearn_00266,"{""blur_radius"": 0.21479951661424712, ""rotation"": 3.41421576678382, ""brightness"": 1.0011071336804256, ""contrast"": 0.9491131742205577, ""noise_sigma"": 2.9210180177139167, ""line_count"": 2, ""perspective_strength"": 0.023080241746178128}",unreviewed
captcha_001662,3690,data/captcha_images/captcha_001662_3690.png,sklearn_00908|sklearn_00088|sklearn_00665|sklearn_01335,"{""blur_radius"": 0.2297443815662959, ""rotation"": 2.3793953597677815, ""brightness"": 1.0353621144831746, ""contrast"": 0.9475735511694718, ""noise_sigma"": 2.8662074236973547, ""line_count"": 0, ""perspective_strength"": 0.028652548674478216}",unreviewed
captcha_004516,2064,data/captcha_images/captcha_004516_2064.png,sklearn_01081|sklearn_01342|sklearn_00542|sklearn_01398,"{""blur_radius"": 0.30920859205070866, ""rotation"": 0.5809582246149212, ""brightness"": 0.8832339288842942, ""contrast"": 1.2436831696701212, ""noise_sigma"": 6.691874681629831, ""line_count"": 0, ""perspective_strength"": 0.00048491058945998925}",unreviewed
captcha_002333,7033,data/captcha_images/captcha_002333_7033.png,sklearn_00559|sklearn_01573|sklearn_01089|sklearn_01498,"{""blur_radius"": 0.2710129435615494, ""rotation"": -2.2005226988907847, ""brightness"": 0.8641546848003471, ""contrast"": 0.8788600907689555, ""noise_sigma"": 2.2037093035076527, ""line_count"": 0, ""perspective_strength"": 0.0049720361835633555}",unreviewed
captcha_001446,6638,data/captcha_images/captcha_001446_6638.png,sklearn_01551|sklearn_01645|sklearn_01588|sklearn_00997,"{""blur_radius"": 0.13934342338204236, ""rotation"": 1.1983251083766762, ""brightness"": 1.0121481108439427, ""contrast"": 0.9342466877784252, ""noise_sigma"": 8.821554925488407, ""line_count"": 3, ""perspective_strength"": 0.004053140407163849}",unreviewed
captcha_003883,8350,data/captcha_images/captcha_003883_8350.png,sklearn_01468|sklearn_00445|sklearn_00938|sklearn_01620,"{""blur_radius"": 0.2850829659372608, ""rotation"": 3.0374623659662516, ""brightness"": 1.1196105602769415, ""contrast"": 1.1859343036674121, ""noise_sigma"": 6.2684955413357, ""line_count"": 3, ""perspective_strength"": 0.013032573940892595}",unreviewed
captcha_003207,6966,data/captcha_images/captcha_003207_6966.png,sklearn_01521|sklearn_00161|sklearn_01519|sklearn_00282,"{""blur_radius"": 0.46704903219457605, ""rotation"": 2.8318118604937244, ""brightness"": 0.9913885017418327, ""contrast"": 1.157146106765457, ""noise_sigma"": 3.689938184565377, ""line_count"": 3, ""perspective_strength"": 0.02458381659010635}",unreviewed
captcha_000998,6663,data/captcha_images/captcha_000998_6663.png,sklearn_01122|sklearn_01701|sklearn_00136|sklearn_00918,"{""blur_radius"": 0.8643446405391452, ""rotation"": 1.0374067126201698, ""brightness"": 1.083415774759097, ""contrast"": 1.0687756162014277, ""noise_sigma"": 2.8520778180639694, ""line_count"": 1, ""perspective_strength"": 0.008667648826823358}",unreviewed
captcha_000371,1280,data/captcha_images/captcha_000371_1280.png,sklearn_01634|sklearn_00443|sklearn_01037|sklearn_00718,"{""blur_radius"": 0.16323545886562735, ""rotation"": 3.239441464733231, ""brightness"": 0.9171649086098193, ""contrast"": 1.066374923275226, ""noise_sigma"": 8.023384747226649, ""line_count"": 1, ""perspective_strength"": 0.021592279674710727}",unreviewed
captcha_000015,7180,data/captcha_images/captcha_000015_7180.png,sklearn_00634|sklearn_01621|sklearn_01149|sklearn_00855,"{""blur_radius"": 0.7956053637071302, ""rotation"": 2.3808020948579127, ""brightness"": 0.9433576302751432, ""contrast"": 1.2413154406109712, ""noise_sigma"": 5.306691566042446, ""line_count"": 2, ""perspective_strength"": 0.009626260320998167}",unreviewed
captcha_001078,9565,data/captcha_images/captcha_001078_9565.png,sklearn_01020|sklearn_00717|sklearn_01045|sklearn_01461,"{""blur_radius"": 0.21551401314672775, ""rotation"": -2.7061242098794507, ""brightness"": 0.8820794094088981, ""contrast"": 1.0494417900308517, ""noise_sigma"": 3.9417339033668615, ""line_count"": 0, ""perspective_strength"": 0.020505957718967772}",unreviewed
captcha_002471,9722,data/captcha_images/captcha_002471_9722.png,sklearn_00119|sklearn_00118|sklearn_00730|sklearn_00723,"{""blur_radius"": 0.8965453697893139, ""rotation"": 1.5594013462808167, ""brightness"": 1.0140409397584236, ""contrast"": 0.8721197144785808, ""noise_sigma"": 3.1183132872249746, ""line_count"": 2, ""perspective_strength"": 0.021917731034654987}",unreviewed
captcha_002772,6791,data/captcha_images/captcha_002772_6791.png,sklearn_01421|sklearn_00754|sklearn_00868|sklearn_00485,"{""blur_radius"": 0.6517793038522055, ""rotation"": -0.7363778446133322, ""brightness"": 1.0802299803552808, ""contrast"": 0.876627750116106, ""noise_sigma"": 3.0728227373669332, ""line_count"": 1, ""perspective_strength"": 0.01305747737735051}",unreviewed
captcha_004386,2009,data/captcha_images/captcha_004386_2009.png,sklearn_01143|sklearn_01703|sklearn_00160|sklearn_01318,"{""blur_radius"": 0.42044071498824576, ""rotation"": 1.5002700083081333, ""brightness"": 0.9028714901489939, ""contrast"": 1.2157756039129328, ""noise_sigma"": 7.24816023676446, ""line_count"": 1, ""perspective_strength"": 0.025264803190286116}",unreviewed
captcha_003902,0245,data/captcha_images/captcha_003902_0245.png,sklearn_01642|sklearn_01618|sklearn_00483|sklearn_00940,"{""blur_radius"": 0.5986858655750391, ""rotation"": 2.963535732113149, ""brightness"": 1.1477292812149287, ""contrast"": 1.08044078574101, ""noise_sigma"": 2.253725721726699, ""line_count"": 1, ""perspective_strength"": 0.02301044094151096}",unreviewed
captcha_001347,9925,data/captcha_images/captcha_001347_9925.png,sklearn_00895|sklearn_01582|sklearn_01111|sklearn_01784,"{""blur_radius"": 0.7591629740054564, ""rotation"": -3.5862708118959024, ""brightness"": 1.1157592164910395, ""contrast"": 1.0634620261954253, ""noise_sigma"": 4.451126468033046, ""line_count"": 1, ""perspective_strength"": 0.001202073312507861}",unreviewed
captcha_000695,1058,data/captcha_images/captcha_000695_1058.png,sklearn_01634|sklearn_00877|sklearn_00109|sklearn_00138,"{""blur_radius"": 0.48925289450720333, ""rotation"": -2.007361884986489, ""brightness"": 1.149589650717618, ""contrast"": 0.8695776850704782, ""noise_sigma"": 8.397713550978954, ""line_count"": 1, ""perspective_strength"": 0.02788061574176554}",unreviewed
captcha_001916,5342,data/captcha_images/captcha_001916_5342.png,sklearn_00488|sklearn_00023|sklearn_00097|sklearn_01427,"{""blur_radius"": 0.6904855459688102, ""rotation"": -2.7708415201171706, ""brightness"": 0.896573144469976, ""contrast"": 1.1576925444013406, ""noise_sigma"": 7.905447120005536, ""line_count"": 0, ""perspective_strength"": 0.0005885656663640682}",unreviewed
captcha_004098,0066,data/captcha_images/captcha_004098_0066.png,sklearn_01002|sklearn_01745|sklearn_00106|sklearn_00582,"{""blur_radius"": 0.3997831878059508, ""rotation"": 0.5053970992334698, ""brightness"": 1.0476701355430336, ""contrast"": 0.8539925867513513, ""noise_sigma"": 2.735079317729841, ""line_count"": 0, ""perspective_strength"": 0.00883091133386761}",unreviewed
captcha_002311,1428,data/captcha_images/captcha_002311_1428.png,sklearn_00667|sklearn_00324|sklearn_00113|sklearn_01325,"{""blur_radius"": 0.18257967134967076, ""rotation"": -1.1780300469622906, ""brightness"": 1.146122311291931, ""contrast"": 1.0393786162858556, ""noise_sigma"": 8.719044783256667, ""line_count"": 3, ""perspective_strength"": 0.030069664881144133}",unreviewed
captcha_000933,3089,data/captcha_images/captcha_000933_3089.png,sklearn_01255|sklearn_00695|sklearn_00309|sklearn_00149,"{""blur_radius"": 0.5304231670049003, ""rotation"": 1.3325156653480112, ""brightness"": 0.862198908975435, ""contrast"": 0.9037454535806937, ""noise_sigma"": 2.9292062515447412, ""line_count"": 3, ""perspective_strength"": 0.014534880351150805}",unreviewed
captcha_000630,7244,data/captcha_images/captcha_000630_7244.png,sklearn_00523|sklearn_01140|sklearn_01254|sklearn_00343,"{""blur_radius"": 0.10900625296208687, ""rotation"": -3.0461796116878306, ""brightness"": 1.0564464256876884, ""contrast"": 1.080774007963269, ""noise_sigma"": 5.1316129710924, ""line_count"": 0, ""perspective_strength"": 0.02335424217331967}",unreviewed
captcha_003992,2539,data/captcha_images/captcha_003992_2539.png,sklearn_00730|sklearn_00162|sklearn_01730|sklearn_00417,"{""blur_radius"": 0.16212219125664948, ""rotation"": -1.3653905332341347, ""brightness"": 1.0558402195095855, ""contrast"": 0.8981085481967167, ""noise_sigma"": 5.604368909735641, ""line_count"": 1, ""perspective_strength"": 0.02542000014336329}",unreviewed
captcha_001850,4896,data/captcha_images/captcha_001850_4896.png,sklearn_00687|sklearn_00945|sklearn_00149|sklearn_01481,"{""blur_radius"": 0.18418226158918627, ""rotation"": -1.0846382355578985, ""brightness"": 1.1100725969598946, ""contrast"": 1.171950673157332, ""noise_sigma"": 2.4630957059450442, ""line_count"": 2, ""perspective_strength"": 0.021169951050305405}",unreviewed
captcha_000155,0529,data/captcha_images/captcha_000155_0529.png,sklearn_01065|sklearn_01702|sklearn_00502|sklearn_00159,"{""blur_radius"": 0.31449275142069394, ""rotation"": -0.24550287938259885, ""brightness"": 0.8972650876013646, ""contrast"": 1.1074006666925422, ""noise_sigma"": 3.214844511325951, ""line_count"": 3, ""perspective_strength"": 0.004440722847992547}",unreviewed
captcha_002884,8761,data/captcha_images/captcha_002884_8761.png,sklearn_00242|sklearn_00559|sklearn_00197|sklearn_00856,"{""blur_radius"": 0.8310332647871753, ""rotation"": 3.545066337908418, ""brightness"": 0.9516561457891523, ""contrast"": 1.0703911745367996, ""noise_sigma"": 2.613227643254066, ""line_count"": 2, ""perspective_strength"": 0.0172265868306759}",unreviewed
captcha_001668,1397,data/captcha_images/captcha_001668_1397.png,sklearn_00991|sklearn_00231|sklearn_01484|sklearn_01422,"{""blur_radius"": 0.360355329073183, ""rotation"": -2.31853107717383, ""brightness"": 1.057264445341056, ""contrast"": 1.126317594918719, ""noise_sigma"": 6.432694215149941, ""line_count"": 0, ""perspective_strength"": 0.014799252388759336}",unreviewed
captcha_000492,9450,data/captcha_images/captcha_000492_9450.png,sklearn_00092|sklearn_00929|sklearn_00419|sklearn_00179,"{""blur_radius"": 0.6098109637000115, ""rotation"": -0.21384165157795554, ""brightness"": 0.8987502141018743, ""contrast"": 1.2070470677907787, ""noise_sigma"": 6.09820265401069, ""line_count"": 3, ""perspective_strength"": 0.01922219132657694}",unreviewed
captcha_004755,2756,data/captcha_images/captcha_004755_2756.png,sklearn_00470|sklearn_00983|sklearn_01228|sklearn_00834,"{""blur_radius"": 0.4277902127440675, ""rotation"": 2.9571701120721245, ""brightness"": 1.041873820148359, ""contrast"": 1.021248621674435, ""noise_sigma"": 5.651578572113985, ""line_count"": 3, ""perspective_strength"": 0.01166068764407964}",unreviewed
captcha_002623,5151,data/captcha_images/captcha_002623_5151.png,sklearn_01203|sklearn_00609|sklearn_00176|sklearn_00688,"{""blur_radius"": 0.4282947839593749, ""rotation"": 1.4016325131373968, ""brightness"": 0.9845546066792009, ""contrast"": 1.0072341754352738, ""noise_sigma"": 4.697096578750158, ""line_count"": 3, ""perspective_strength"": 0.0008754638394303189}",unreviewed
captcha_001194,0531,data/captcha_images/captcha_001194_0531.png,sklearn_01029|sklearn_01568|sklearn_01202|sklearn_00090,"{""blur_radius"": 0.5965976600364246, ""rotation"": 2.652109390122817, ""brightness"": 0.9111575982429603, ""contrast"": 1.1405088446384477, ""noise_sigma"": 4.634675259488148, ""line_count"": 3, ""perspective_strength"": 0.030007653598896483}",unreviewed
captcha_001181,2910,data/captcha_images/captcha_001181_2910.png,sklearn_00788|sklearn_00993|sklearn_01334|sklearn_00915,"{""blur_radius"": 0.385827809526436, ""rotation"": -1.6978245299292176, ""brightness"": 0.9156763829726275, ""contrast"": 0.8947179564001722, ""noise_sigma"": 4.803450442664699, ""line_count"": 1, ""perspective_strength"": 0.02167416747331099}",unreviewed
captcha_004883,7493,data/captcha_images/captcha_004883_7493.png,sklearn_01238|sklearn_00473|sklearn_00361|sklearn_01216,"{""blur_radius"": 0.5884753970541311, ""rotation"": -0.6822684046605509, ""brightness"": 1.0383040528446537, ""contrast"": 1.224397444286017, ""noise_sigma"": 5.6988619777821885, ""line_count"": 0, ""perspective_strength"": 0.024997547279399738}",unreviewed
captcha_004707,7240,data/captcha_images/captcha_004707_7240.png,sklearn_01657|sklearn_01780|sklearn_01095|sklearn_01039,"{""blur_radius"": 0.8555799147669686, ""rotation"": -3.662849094758565, ""brightness"": 0.8742749346270056, ""contrast"": 1.0203145895805505, ""noise_sigma"": 3.5703692222168324, ""line_count"": 1, ""perspective_strength"": 0.02452921938762061}",unreviewed
captcha_003564,6550,data/captcha_images/captcha_003564_6550.png,sklearn_00104|sklearn_00951|sklearn_00155|sklearn_01545,"{""blur_radius"": 0.7769519250616937, ""rotation"": -2.9973159310135973, ""brightness"": 0.8880009274674541, ""contrast"": 1.1313232832270248, ""noise_sigma"": 3.0896141738188896, ""line_count"": 2, ""perspective_strength"": 0.022438486962262336}",unreviewed
captcha_004590,4909,data/captcha_images/captcha_004590_4909.png,sklearn_00886|sklearn_00635|sklearn_01002|sklearn_01540,"{""blur_radius"": 0.7964297057507046, ""rotation"": -1.6317568971748644, ""brightness"": 0.8706113171570584, ""contrast"": 0.9437738235300535, ""noise_sigma"": 8.428444545002138, ""line_count"": 2, ""perspective_strength"": 0.021604252336341185}",unreviewed
captcha_001759,2408,data/captcha_images/captcha_001759_2408.png,sklearn_01742|sklearn_01515|sklearn_00565|sklearn_00852,"{""blur_radius"": 0.752640493817504, ""rotation"": -2.5349552042827153, ""brightness"": 0.8936990317260756, ""contrast"": 0.9186905179746375, ""noise_sigma"": 2.865042474740659, ""line_count"": 3, ""perspective_strength"": 0.01211476770364083}",unreviewed
captcha_003838,0454,data/captcha_images/captcha_003838_0454.png,sklearn_00048|sklearn_01022|sklearn_01302|sklearn_00014,"{""blur_radius"": 0.8270432859594797, ""rotation"": -1.1885245327753973, ""brightness"": 0.9340517884925983, ""contrast"": 0.9367790223079759, ""noise_sigma"": 4.004468764981236, ""line_count"": 3, ""perspective_strength"": 0.015754151301783446}",unreviewed
captcha_004486,3282,data/captcha_images/captcha_004486_3282.png,sklearn_00990|sklearn_00437|sklearn_01581|sklearn_00570,"{""blur_radius"": 0.8935855961770763, ""rotation"": -1.3988569963844393, ""brightness"": 1.1149446006037727, ""contrast"": 0.9716560306718349, ""noise_sigma"": 8.551565928197121, ""line_count"": 0, ""perspective_strength"": 0.023305904998504406}",unreviewed
captcha_000018,7907,data/captcha_images/captcha_000018_7907.png,sklearn_00147|sklearn_00119|sklearn_00252|sklearn_01072,"{""blur_radius"": 0.47608211363259156, ""rotation"": 2.3516887611659776, ""brightness"": 0.9512903331901962, ""contrast"": 1.1053093265215455, ""noise_sigma"": 2.3124575322291316, ""line_count"": 3, ""perspective_strength"": 0.027980630482866514}",unreviewed
captcha_002149,5965,data/captcha_images/captcha_002149_5965.png,sklearn_01192|sklearn_01616|sklearn_00792|sklearn_01018,"{""blur_radius"": 0.6378151952691785, ""rotation"": -3.2708827801546185, ""brightness"": 0.8966250070921151, ""contrast"": 0.970531566292629, ""noise_sigma"": 4.4150016198489075, ""line_count"": 1, ""perspective_strength"": 0.03300062229678401}",unreviewed
captcha_002621,5430,data/captcha_images/captcha_002621_5430.png,sklearn_00162|sklearn_01161|sklearn_00928|sklearn_00565,"{""blur_radius"": 0.45743846176957415, ""rotation"": 0.727637569041474, ""brightness"": 1.0736439695779982, ""contrast"": 0.9512084833593271, ""noise_sigma"": 8.172738375052443, ""line_count"": 3, ""perspective_strength"": 0.009196847949425001}",unreviewed
captcha_002581,7978,data/captcha_images/captcha_002581_7978.png,sklearn_01509|sklearn_00159|sklearn_00820|sklearn_01491,"{""blur_radius"": 0.8284547770403797, ""rotation"": -0.6504390143521475, ""brightness"": 0.9317687179162455, ""contrast"": 1.0403031279742252, ""noise_sigma"": 4.595139155714885, ""line_count"": 1, ""perspective_strength"": 0.015833602635190992}",unreviewed
captcha_004682,6223,data/captcha_images/captcha_004682_6223.png,sklearn_00583|sklearn_01344|sklearn_00518|sklearn_00089,"{""blur_radius"": 0.5993327142994138, ""rotation"": 1.2508084778340631, ""brightness"": 1.0117884811346218, ""contrast"": 1.1361542167154022, ""noise_sigma"": 7.672003824796357, ""line_count"": 2, ""perspective_strength"": 0.0066692756745379625}",unreviewed
